title,date,source,link,description
Over 400 economists and ex-officials endorse Kamala Harris - CNN,"Tue, 24 Sep 2024 09:00:00 GMT",CNN,https://news.google.com/rss/articles/CBMijAFBVV95cUxOcEdzd2NkNHdNcTYxbDJEZlpwUGRQNkx5SnAtaGdRcElfR09OemdSUk5qYTU0NHA3cHloVWlnWTUzSmJxUWtaTWVpTHFvY2VWakpPR3VKQVZ4YTd4dWhPaFpTZjZWZzJZZ09RVEZhdEtUcWFBQXRBRXBWZVRYWkQ0S2hwck9CSlplTmJhWNIBgwFBVV95cUxOV2JQU05PSW9mTVlnYVhGY0Jhb05VYk13ajlHYWZqOVVEeGlaejZQX3A0cGVEUVFORTdBMU1qRlZSanJzX1dBR0w3Z0toOEhMYTloaXhCZTVERjg0di01MjJXa2JnakpTalZZSW02Q2Z5SGp4QzFKRVA5dkNkTXkyOTRpaw?oc=5,"<a href=""https://news.google.com/rss/articles/CBMijAFBVV95cUxOcEdzd2NkNHdNcTYxbDJEZlpwUGRQNkx5SnAtaGdRcElfR09OemdSUk5qYTU0NHA3cHloVWlnWTUzSmJxUWtaTWVpTHFvY2VWakpPR3VKQVZ4YTd4dWhPaFpTZjZWZzJZZ09RVEZhdEtUcWFBQXRBRXBWZVRYWkQ0S2hwck9CSlplTmJhWNIBgwFBVV95cUxOV2JQU05PSW9mTVlnYVhGY0Jhb05VYk13ajlHYWZqOVVEeGlaejZQX3A0cGVEUVFORTdBMU1qRlZSanJzX1dBR0w3Z0toOEhMYTloaXhCZTVERjg0di01MjJXa2JnakpTalZZSW02Q2Z5SGp4QzFKRVA5dkNkTXkyOTRpaw?oc=5"" target=""_blank"">Over 400 economists and ex-officials endorse Kamala Harris</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNN</font>"
Janet Jackson Repeats False Claims About Kamala Harris’s Race - The New York Times,"Mon, 23 Sep 2024 21:49:20 GMT",The New York Times,https://news.google.com/rss/articles/CBMijwFBVV95cUxPcmJuNnpDYjdyUzlwanpNOFlIZU5JV2lmdi1IV1QzYzF2ZTBJWmloSUR5Ym83X3J4WmtJcXNnWTRXVFBsb0wtdUVZbEhkamw3Q1JwNFVRemN1WWZXWU5qem5tVWtUMmtZQlJSaTdQNmdZaGV4TWZtZFJEZHpiNnA2R3dSZHpka0xBbTY2bDBfMA?oc=5,"<a href=""https://news.google.com/rss/articles/CBMijwFBVV95cUxPcmJuNnpDYjdyUzlwanpNOFlIZU5JV2lmdi1IV1QzYzF2ZTBJWmloSUR5Ym83X3J4WmtJcXNnWTRXVFBsb0wtdUVZbEhkamw3Q1JwNFVRemN1WWZXWU5qem5tVWtUMmtZQlJSaTdQNmdZaGV4TWZtZFJEZHpiNnA2R3dSZHpka0xBbTY2bDBfMA?oc=5"" target=""_blank"">Janet Jackson Repeats False Claims About Kamala Harris’s Race</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New York Times</font>"
'Be a man and vote for a woman:' Sam Elliot voices new ad endorsing Kamala Harris - USA TODAY,"Tue, 24 Sep 2024 19:30:09 GMT",USA TODAY,https://news.google.com/rss/articles/CBMitgFBVV95cUxQM2I4QjJVQklnUU1XVE9TcFIwTzVrTUlycFRhRUM4WHlHdmVsRzdKZVBESUZzaGlTeTc3bm9wQ0NMX2FleFI4UUUyaXNDTTlGeVpCYV9QY29PcWVkc0tXX3FybVFZRWM2bE9CUU10UGdYb1Z6Z0hkeDBnVWoxcEQ1LWtlRkxLZUp0N3dkSjlCbWlZQjdSY1k5aFY2MG44QjhvdFRZUDBOMXBRTmhsb1U3Qm96UU81dw?oc=5,"<a href=""https://news.google.com/rss/articles/CBMitgFBVV95cUxQM2I4QjJVQklnUU1XVE9TcFIwTzVrTUlycFRhRUM4WHlHdmVsRzdKZVBESUZzaGlTeTc3bm9wQ0NMX2FleFI4UUUyaXNDTTlGeVpCYV9QY29PcWVkc0tXX3FybVFZRWM2bE9CUU10UGdYb1Z6Z0hkeDBnVWoxcEQ1LWtlRkxLZUp0N3dkSjlCbWlZQjdSY1k5aFY2MG44QjhvdFRZUDBOMXBRTmhsb1U3Qm96UU81dw?oc=5"" target=""_blank"">'Be a man and vote for a woman:' Sam Elliot voices new ad endorsing Kamala Harris</a>&nbsp;&nbsp;<font color=""#6f6f6f"">USA TODAY</font>"
"Live updates: Donald Trump, Kamala Harris election news | CNN Politics - CNN","Tue, 24 Sep 2024 19:54:00 GMT",CNN,https://news.google.com/rss/articles/CBMimAFBVV95cUxPMl9scWtMSkdFNGRramRMd19HUW1Jb0tNREdGanU0MG5JZkw4SXZPaklOYTNJMzFWaThKYWNmZGRHZnpWalR2Xzd2ZUZ2eTFtM3g1WTFsQVNCRHNKdlEyOXhCaUhkR0lZNkQ0bGdjVlZuY1d5YzJBSFdzWTR2RndieU96LXMtTlc3bkx1VkIyeko4WkI2RFNESA?oc=5,"<a href=""https://news.google.com/rss/articles/CBMimAFBVV95cUxPMl9scWtMSkdFNGRramRMd19HUW1Jb0tNREdGanU0MG5JZkw4SXZPaklOYTNJMzFWaThKYWNmZGRHZnpWalR2Xzd2ZUZ2eTFtM3g1WTFsQVNCRHNKdlEyOXhCaUhkR0lZNkQ0bGdjVlZuY1d5YzJBSFdzWTR2RndieU96LXMtTlc3bkx1VkIyeko4WkI2RFNESA?oc=5"" target=""_blank"">Live updates: Donald Trump, Kamala Harris election news | CNN Politics</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNN</font>"
Behind Kamala Harris’s Rise: Silicon Valley’s Wealthiest Woman - The New York Times,"Tue, 24 Sep 2024 19:36:59 GMT",The New York Times,https://news.google.com/rss/articles/CBMijgFBVV95cUxOaHFnazgtUmFCX01ZWWViMHRMSVd4YWhrdHM5QlJkMVJoNFBJanl0YS1Nb203NUxPUV92LTV6d1VPbG9NYVZVeVRnb0JCal9wYU5FRVVvN1ZvODVPNm9CcmgyRDhXYlN2V3NPLTI2YlBuakRTb0xoUVZwSXBkb1JmRlRNUC00Q1RPQ1JWS0Fn?oc=5,"<a href=""https://news.google.com/rss/articles/CBMijgFBVV95cUxOaHFnazgtUmFCX01ZWWViMHRMSVd4YWhrdHM5QlJkMVJoNFBJanl0YS1Nb203NUxPUV92LTV6d1VPbG9NYVZVeVRnb0JCal9wYU5FRVVvN1ZvODVPNm9CcmgyRDhXYlN2V3NPLTI2YlBuakRTb0xoUVZwSXBkb1JmRlRNUC00Q1RPQ1JWS0Fn?oc=5"" target=""_blank"">Behind Kamala Harris’s Rise: Silicon Valley’s Wealthiest Woman</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New York Times</font>"
Montana Voting System Shut Down After Kamala Harris Left Off Ballot - Newsweek,"Mon, 23 Sep 2024 16:58:46 GMT",Newsweek,https://news.google.com/rss/articles/CBMickFVX3lxTE1yNWZVcWdNdXllYi1iWExDaktHZW4wUGhBNmVaeHYyVEkwZVVabEhIdDlFT1J4c0JTbHZzYXAtMEE1RzN1WHdaNURTV2VVb0RZdTVwWEdZUF9HYW9IZzVNeDEtX3NKRVhZQngzYmYzdXZLZw?oc=5,"<a href=""https://news.google.com/rss/articles/CBMickFVX3lxTE1yNWZVcWdNdXllYi1iWExDaktHZW4wUGhBNmVaeHYyVEkwZVVabEhIdDlFT1J4c0JTbHZzYXAtMEE1RzN1WHdaNURTV2VVb0RZdTVwWEdZUF9HYW9IZzVNeDEtX3NKRVhZQngzYmYzdXZLZw?oc=5"" target=""_blank"">Montana Voting System Shut Down After Kamala Harris Left Off Ballot</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Newsweek</font>"
Kamala Harris knows how to talk about guns — she should do it more often - MSNBC,"Tue, 24 Sep 2024 10:00:00 GMT",MSNBC,https://news.google.com/rss/articles/CBMiqgFBVV95cUxORThiTTl1UmNnRVd4WGlUYVpWMFNrNGw4SmtJZVZORENIaXV4cWptRWltRDdRRHFWWHF5X0QtTFVLcW5kTnpuaUxjZDBQZmE1cTJpRmNTY3VtSFh6aFZxS3BIaXhCbXZ1dlIxWkpvMmxnOExRYVNscl8xZFVXWEJ1XzVvWHEzTVZEMVFhbjdIRklKa1pBMjRRc0dpX18tY1pPZ18wOHphb3NNUdIBVEFVX3lxTE52aEtpLXZFM09DTkh0cjFDSEpCZS03dGl2cnQ0RkF5dFZfVTh5SkVaYndiMXNzcWtRR29MbjRwcFAxVllGUFJLcHBKZE9JNkpLMzNNMw?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiqgFBVV95cUxORThiTTl1UmNnRVd4WGlUYVpWMFNrNGw4SmtJZVZORENIaXV4cWptRWltRDdRRHFWWHF5X0QtTFVLcW5kTnpuaUxjZDBQZmE1cTJpRmNTY3VtSFh6aFZxS3BIaXhCbXZ1dlIxWkpvMmxnOExRYVNscl8xZFVXWEJ1XzVvWHEzTVZEMVFhbjdIRklKa1pBMjRRc0dpX18tY1pPZ18wOHphb3NNUdIBVEFVX3lxTE52aEtpLXZFM09DTkh0cjFDSEpCZS03dGl2cnQ0RkF5dFZfVTh5SkVaYndiMXNzcWtRR29MbjRwcFAxVllGUFJLcHBKZE9JNkpLMzNNMw?oc=5"" target=""_blank"">Kamala Harris knows how to talk about guns — she should do it more often</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSNBC</font>"
"Kamala Harris’ comments on shooting a home intruder are ‘absolutely’ responsible, Fetterman says - NBC News","Sun, 22 Sep 2024 13:23:29 GMT",NBC News,https://news.google.com/rss/articles/CBMi5AFBVV95cUxNWGc3LVVucVE1S0gtWkdFQXlrNG9YaC14QVFULVRTcjl4V1Q1YmVnd3pYZ20wb3NsN25zRnBtYWx4VkFNekhwMVBodDU4ZXA2M2w3VWdMMmtQVVpxRUwyRzdXWV9BdzFXd0hkbmc3QUxWMDY1R3dQVjAtT1JaUk9VZU1YUy11UndUd19kUUxYMnZ6ZkJocXFlbFZzejl5OFUzdnVNNlo1aU4xYlhDYUVRaTQ0M3VHb0JJWWpzTE9kRm9JMm5zLU5VWHZud1gta2ZmVUN5blczenpZbGxaZDhyaDg4ZDDSAWZBVV95cUxPWVMtOE40OHlWQWZTeGM0NkhoT3R4VmhRTjh0Uk04RE1BU3JQaEdFMmhVNFFkYTljdU9BSmdrbFE3STdjczBZR3h6WmlFdE1xYU92b1BocS1nV2JsUE1TWWFjVXdOWHc?oc=5,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxNWGc3LVVucVE1S0gtWkdFQXlrNG9YaC14QVFULVRTcjl4V1Q1YmVnd3pYZ20wb3NsN25zRnBtYWx4VkFNekhwMVBodDU4ZXA2M2w3VWdMMmtQVVpxRUwyRzdXWV9BdzFXd0hkbmc3QUxWMDY1R3dQVjAtT1JaUk9VZU1YUy11UndUd19kUUxYMnZ6ZkJocXFlbFZzejl5OFUzdnVNNlo1aU4xYlhDYUVRaTQ0M3VHb0JJWWpzTE9kRm9JMm5zLU5VWHZud1gta2ZmVUN5blczenpZbGxaZDhyaDg4ZDDSAWZBVV95cUxPWVMtOE40OHlWQWZTeGM0NkhoT3R4VmhRTjh0Uk04RE1BU3JQaEdFMmhVNFFkYTljdU9BSmdrbFE3STdjczBZR3h6WmlFdE1xYU92b1BocS1nV2JsUE1TWWFjVXdOWHc?oc=5"" target=""_blank"">Kamala Harris’ comments on shooting a home intruder are ‘absolutely’ responsible, Fetterman says</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NBC News</font>"
Sam Elliott in pro-Harris ad: ‘Are we really going back down that same f‑‑‑ing broken road?’ - The Hill,"Tue, 24 Sep 2024 16:12:00 GMT",The Hill,https://news.google.com/rss/articles/CBMif0FVX3lxTFBoLWZjS2xvT29NZnFWaDItXzBLOHZlSl91V0o0Z3JLTHdKSUR4dTYtM21ENVRRSHVkdklpODJGaFQySEplN1gwRERubWNyQm9aQ2RPN05kWmFFUVlncldxbjZmNU82ZEdYMGVuclpMTTY1WGpWcnMwQURhcGZZNk3SAYQBQVVfeXFMTjRHbHI5Y0hNamktVEE2ZjFWRXM5c0lkMVNrZkYxQXpkRmY0SkdtaXpTbXpiUnJGZEJ5aHdkTi1ISHN4Q2pCc2g1RE9OclRnVWRDeFVBRnQzM3I2Z1NpU1VPRGl5b2VMV1doNHpleTVyT21zRlZWemdlcXM4VUV0aGdIMnFF?oc=5,"<a href=""https://news.google.com/rss/articles/CBMif0FVX3lxTFBoLWZjS2xvT29NZnFWaDItXzBLOHZlSl91V0o0Z3JLTHdKSUR4dTYtM21ENVRRSHVkdklpODJGaFQySEplN1gwRERubWNyQm9aQ2RPN05kWmFFUVlncldxbjZmNU82ZEdYMGVuclpMTTY1WGpWcnMwQURhcGZZNk3SAYQBQVVfeXFMTjRHbHI5Y0hNamktVEE2ZjFWRXM5c0lkMVNrZkYxQXpkRmY0SkdtaXpTbXpiUnJGZEJ5aHdkTi1ISHN4Q2pCc2g1RE9OclRnVWRDeFVBRnQzM3I2Z1NpU1VPRGl5b2VMV1doNHpleTVyT21zRlZWemdlcXM4VUV0aGdIMnFF?oc=5"" target=""_blank"">Sam Elliott in pro-Harris ad: ‘Are we really going back down that same f‑‑‑ing broken road?’</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hill</font>"
Kamala Harris backs ending filibuster for abortion rights legislation - POLITICO,"Tue, 24 Sep 2024 14:58:18 GMT",POLITICO,https://news.google.com/rss/articles/CBMilAFBVV95cUxOX2NQVkczSXlmQkZ1Z0ExUk1FNTVZRjRLRVBJVUZwNXlya0tycVZYeHJHeFVCeFNHd0MxUzBYUTc4UzYzVUs3M0FNeFgwVXVxdVZtQ25acEVuX2VzWVFITUhzTFZFQ2FrazkzYmhKdElTa3NrWWZvN3N6OGFrbzFfZ0FmN09DTkg5VzNRSEFKT0Q1aVRr?oc=5,"<a href=""https://news.google.com/rss/articles/CBMilAFBVV95cUxOX2NQVkczSXlmQkZ1Z0ExUk1FNTVZRjRLRVBJVUZwNXlya0tycVZYeHJHeFVCeFNHd0MxUzBYUTc4UzYzVUs3M0FNeFgwVXVxdVZtQ25acEVuX2VzWVFITUhzTFZFQ2FrazkzYmhKdElTa3NrWWZvN3N6OGFrbzFfZ0FmN09DTkg5VzNRSEFKT0Q1aVRr?oc=5"" target=""_blank"">Kamala Harris backs ending filibuster for abortion rights legislation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">POLITICO</font>"
