video_title,channel_uploader,author,publish_date,updated_date,like_count,text_display,url
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@Sisterxxxxx,2024-11-03T04:27:49Z,2024-11-03T04:27:49Z,0,Lolololo,https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@cranapple3367,2024-11-03T04:27:46Z,2024-11-03T04:27:46Z,0,&quot;The last time I hated a mic [Mike] this much I tried to have him killed!&quot; oh my god,https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@debrabeard-bader416,2024-11-03T04:27:41Z,2024-11-03T04:27:41Z,0,I’m terrified that this could be the last time I laugh. 😢,https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@michellertom,2024-11-03T04:27:35Z,2024-11-03T04:27:35Z,0,This is nothing... Trump did a whole ass show as host,https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@max_kempa,2024-11-03T04:27:28Z,2024-11-03T04:27:28Z,3,This is so legendary omg,https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@AlexThemighty-w1j,2024-11-03T04:27:26Z,2024-11-03T04:27:26Z,2,HARRIS 2024. Thumbs up if you&#39;re here before she wins the election,https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@bernardofelsenfeld9142,2024-11-03T04:27:24Z,2024-11-03T04:27:24Z,0,"AXÉ, KAMALA",https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@shahartley,2024-11-03T04:27:19Z,2024-11-03T04:27:19Z,0,Who do you think is winning: KAMALA or TRUMP?,https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@FrankieTalks-j1y,2024-11-03T04:27:19Z,2024-11-03T04:27:19Z,0,What he did to the MIC HAHHHAHA.,https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@AliF-df5on,2024-11-03T04:27:18Z,2024-11-03T04:27:32Z,0,"Love this, she was great!! <br>💙💙💙💙💙",https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@SteveJonesOwnsDSP,2024-11-03T04:27:18Z,2024-11-03T04:27:18Z,3,"This was so awesome --- I was grinning ear-to-ear when Kamala came on screen.  She also has great timing and delivery, especially on the &#39;I don&#39;t really laugh like that do I?&#39; line.",https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@montecristo7527,2024-11-03T04:27:15Z,2024-11-03T04:27:15Z,0,"I miss Alec Baldwin’s Trump, it was perfection, Shane Gillis is a close second too",https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@qwertyuiopasiii2822,2024-11-03T04:27:09Z,2024-11-03T04:27:09Z,1,Omg!!!!! 💙💙💙💙 Kamala Harris is so awesome! I f**kin love her!!! 💙💙💙,https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@LoozerLord,2024-11-03T04:27:04Z,2024-11-03T04:27:04Z,1,And i still wont vote for her……,https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@saph2024,2024-11-03T04:27:02Z,2024-11-03T04:27:02Z,0,queer folk for harris &lt;3,https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@cammieg4381,2024-11-03T04:26:58Z,2024-11-03T04:26:58Z,0,"&quot;whether they like it or not&quot; is NOT anything to laugh at...oh wait, until it comes time for Trump to pay the consequences and go to PRISON, WHETHER HE LIKES IT OR NOT!",https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@TheoTheTimeTravelingMagician,2024-11-03T04:26:57Z,2024-11-03T04:26:57Z,0,THIS IS AMAZING!!!,https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@blondecai171,2024-11-03T04:26:53Z,2024-11-03T04:26:53Z,1,Kamala and her twin sister 😂😂😂,https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@heysp,2024-11-03T04:26:46Z,2024-11-03T04:26:46Z,2,Harris Walz 2024!! 💙,https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@jpham206,2024-11-03T04:26:45Z,2024-11-03T04:26:45Z,1,"Best SNL Skit in a long time, go Kamala!  VOTE!",https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@steveconn,2024-11-03T04:26:42Z,2024-11-03T04:26:42Z,0,"Wow, Maya not tall and she towers over Kamala. Take out the garbage, K!! 💙💙💙💙",https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@guillermosierracuellar9812,2024-11-03T04:26:40Z,2024-11-03T04:26:40Z,0,Saying Kamala was really shocking,https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@baconbruh2019,2024-11-03T04:26:38Z,2024-11-03T04:26:38Z,0,TRUMP 2024 NEW TORK SUCKS FOR WHAT THEY DID TO PEANUT,https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@laalaa99stl,2024-11-03T04:26:35Z,2024-11-03T04:26:35Z,0,Keep Kamala and carry on-ala!,https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@IamLegendaryguy1998,2024-11-03T04:26:33Z,2024-11-03T04:26:33Z,0,Saturday night live greatness,https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@FWbaracuss,2024-11-03T04:26:32Z,2024-11-03T04:26:32Z,1,Kamala Harris the throat goat,https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@nverma989,2024-11-03T04:26:29Z,2024-11-03T04:26:46Z,1,"Proud to be Indian American 🇺🇸. Whatever happens , I am grateful this country gave her opportunity to run for top office from a major political party. This is what America is, not BS Trump spews.",https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@civil_villain,2024-11-03T04:26:28Z,2024-11-03T04:26:28Z,2,Holy Cow - that was 100% Trump&#39;s actual inner monologue!,https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@phoquedisshit1710,2024-11-03T04:26:26Z,2024-11-03T04:26:26Z,0,The vibes are immaculate.,https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@zoeledwards6617,2024-11-03T04:26:25Z,2024-11-03T04:26:25Z,0,"I am so confused, who is real Kamala.",https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@blipmachine,2024-11-03T04:26:25Z,2024-11-03T04:26:25Z,0,Bowen Yang is too normal to play JD. Not lizard enough.,https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@laalaa99stl,2024-11-03T04:26:24Z,2024-11-03T04:26:24Z,0,The only person in history who Beyonce opened for. 👍,https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@ojtheaviator1795,2024-11-03T04:26:22Z,2024-11-03T04:26:22Z,0,"Love how much applause there is at <a href=""https://www.youtube.com/watch?v=e6Funs6yyEw&amp;t=365"">6:05</a>, and how Maya keeps mirroring Kamala, and how that seems to crack her up!",https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@Rin-jz7up,2024-11-03T04:26:20Z,2024-11-03T04:26:20Z,0,I love how they cheered for so long,https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@TheGoatIsHere69,2024-11-03T04:26:18Z,2024-11-03T04:26:18Z,0,She a baddie with her baddie friend ✨,https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@thesuncollective1475,2024-11-03T04:26:17Z,2024-11-03T04:26:17Z,0,Mike joke 😂😂😂,https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@Equinox-Jones,2024-11-03T04:26:16Z,2024-11-03T04:26:16Z,3,Now that&#39;s was an eipc opening show. Harris and Maya were amazing. 💯,https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@Joaqamole14,2024-11-03T04:26:13Z,2024-11-03T04:26:13Z,0,"Kamala is so crying bruh, she’s leaning off of celebs for everything",https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@loriparks8657,2024-11-03T04:26:13Z,2024-11-03T04:26:13Z,0,🌊🇺🇸🌊🇺🇸🌊🇺🇸Harris 🇺🇸🌊Walz,https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@FrankieTalks-j1y,2024-11-03T04:26:10Z,2024-11-03T04:26:10Z,0,"4:25AM UK Time, not tired at all, PERFECT TIMING. Good luck America!. Democrats for the win if not it&#39;ll only be 4 years and he&#39;ll be a goner.",https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@CricketJeepFox,2024-11-03T04:26:09Z,2024-11-03T04:26:09Z,1,LOVE her! Such a wonderful soul! Harris Walz 2024! Voted blue in Texas!,https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@laalaa99stl,2024-11-03T04:26:07Z,2024-11-03T04:26:07Z,0,The last time I hated a mike this much I tried to have it keeled. 🤣,https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@Igaveyoumyfakename,2024-11-03T04:26:05Z,2024-11-03T04:26:05Z,0,Kamala&#39;s joy is infectious. Let&#39;s get it America!,https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@limacom,2024-11-03T04:26:05Z,2024-11-03T04:26:05Z,0,"<a href=""http://www.youtube.com/results?search_query=%2345not47"">#45not47</a> 😂",https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@SVUE-jj9jc,2024-11-03T04:26:04Z,2024-11-03T04:26:04Z,1,All in for Kamala. 👏 Let’s Go!,https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@kereneldad2960,2024-11-03T04:26:03Z,2024-11-03T04:26:03Z,0,Amazing!!! Loved it!!!,https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@RedDragonM1,2024-11-03T04:26:03Z,2024-11-03T04:26:03Z,0,That&#39;s nice.. NOW FUCKING VOTE!!! WE CAN&#39;T LET HIM WIN! VOTE!!,https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@DMAN590,2024-11-03T04:26:02Z,2024-11-03T04:26:02Z,0,Its all going to hell anyway,https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@TheUnmitigatedDawn,2024-11-03T04:26:01Z,2024-11-03T04:26:01Z,0,I remember when Donald did the same thing with Fallon.,https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@marielysdiane3342,2024-11-03T04:25:59Z,2024-11-03T04:25:59Z,0,Ran home from work to be able to see this Live. Will never forget it. Kamala smiling super big while everyone cheered made me tear up.,https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@smackdabinthemiddle,2024-11-03T04:25:58Z,2024-11-03T04:25:58Z,0,Haha here in the first minute,https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@lnpminh,2024-11-03T04:25:58Z,2024-11-03T04:25:58Z,0,Best night,https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@sonicthehedgehog1606,2024-11-03T04:25:58Z,2024-11-03T04:25:58Z,1,Trump is going to win!,https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@thomasmiccolis9051,2024-11-03T04:25:57Z,2024-11-03T04:25:57Z,0,Maya did her usual GREAT job of imitating Harris though! 😃👍,https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@FWbaracuss,2024-11-03T04:25:54Z,2024-11-03T04:25:54Z,1,Trump 2024 LFG 🇺🇸,https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@MadamRoastBeefYT,2024-11-03T04:25:51Z,2024-11-03T04:27:34Z,2,"I&#39;ve been out Canvasing ALLLL Over Las Vegas! Encouraging People to get out and VOTE!! For Kamala! 🗳️💙🌊 We&#39;ve got this, Babes! 🤘💙✊ Haha",https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@shahartley,2024-11-03T04:25:51Z,2024-11-03T04:25:51Z,0,Who do you think is winning: KAMALA or TRUMP?,https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@AndrewMcClenning,2024-11-03T04:25:48Z,2024-11-03T04:25:48Z,1,Where&#39;s the bipartisanship? Nowhere to be found in a left-leaning show.,https://www.youtube.com/watch?v=e6Funs6yyEw
