video_title,channel_uploader,author,publish_date,updated_date,like_count,text_display,url
"Donald Trump full speech at Madison Square Garden (Oct. 27, 2024)",WFAA,@ninaza6806,2024-10-31T05:26:19Z,2024-10-31T05:26:19Z,0,"It appears that the most American cars are Hondas, Kias, and Toyotas, by % of components made IN USA",https://www.youtube.com/watch?v=ftNx76VxZqM
"Donald Trump full speech at Madison Square Garden (Oct. 27, 2024)",WFAA,@azalechkassa9663,2024-10-31T05:24:01Z,2024-10-31T05:24:01Z,0,American for whites.,https://www.youtube.com/watch?v=ftNx76VxZqM
"Donald Trump full speech at Madison Square Garden (Oct. 27, 2024)",WFAA,@scottclemens9245,2024-10-31T04:46:53Z,2024-10-31T04:46:53Z,0,Can you get anymore Alpha than Trump. Wow! That&#39;s a lot of fake news.  Look at that. That&#39;s gotta be a record. I think that&#39;s a record.  That is a lot of fakers back there.  Lol,https://www.youtube.com/watch?v=ftNx76VxZqM
"Donald Trump full speech at Madison Square Garden (Oct. 27, 2024)",WFAA,@scottclemens9245,2024-10-31T04:35:37Z,2024-10-31T04:35:37Z,0,This rally had me crying with hope.,https://www.youtube.com/watch?v=ftNx76VxZqM
"Donald Trump full speech at Madison Square Garden (Oct. 27, 2024)",WFAA,@landoflakes92,2024-10-31T03:53:29Z,2024-10-31T03:53:29Z,0,Trump,https://www.youtube.com/watch?v=ftNx76VxZqM
"Donald Trump full speech at Madison Square Garden (Oct. 27, 2024)",WFAA,@marcleysens7716,2024-10-30T23:53:58Z,2024-10-30T23:53:58Z,0,Wow. What a speech. Epic.,https://www.youtube.com/watch?v=ftNx76VxZqM
"Donald Trump full speech at Madison Square Garden (Oct. 27, 2024)",WFAA,@RJcoolray,2024-10-30T23:31:23Z,2024-10-30T23:31:23Z,0,I just listened to this entire video and he did not say one single thing that was true about Harris. He lies about EVERYTHING. He is an embarrassment to man kind. he knows he&#39;s losing so he &#39;s already talking about rigged elections .,https://www.youtube.com/watch?v=ftNx76VxZqM
"Donald Trump full speech at Madison Square Garden (Oct. 27, 2024)",WFAA,@RJcoolray,2024-10-30T23:03:01Z,2024-10-30T23:03:01Z,0,The greatest lyre of all time,https://www.youtube.com/watch?v=ftNx76VxZqM
"Donald Trump full speech at Madison Square Garden (Oct. 27, 2024)",WFAA,@lytouersie9750,2024-10-30T22:31:13Z,2024-10-30T22:31:13Z,0,Since you&#39;ll keep the country dafe why they should keep their guns??????,https://www.youtube.com/watch?v=ftNx76VxZqM
"Donald Trump full speech at Madison Square Garden (Oct. 27, 2024)",WFAA,@sabinabanks5876,2024-10-30T21:08:32Z,2024-10-30T21:08:32Z,0,"He sounds luke a BEGGER for a VOTE.<br>LIAR,  LIAR YOUR PANTS ON FIRE!!",https://www.youtube.com/watch?v=ftNx76VxZqM
"Donald Trump full speech at Madison Square Garden (Oct. 27, 2024)",WFAA,@emermbiemeri,2024-10-30T20:44:09Z,2024-10-30T20:44:09Z,0,sa jeni te afte politika amerikane.       ardhmerin amerikes dobete shum te dobet jeni. cila arsyja.          ju vet dini,https://www.youtube.com/watch?v=ftNx76VxZqM
"Donald Trump full speech at Madison Square Garden (Oct. 27, 2024)",WFAA,@Irene-h5j1g,2024-10-30T19:55:15Z,2024-10-30T19:55:15Z,0,I Wasted 1 hour of my time listening to Kamala just to be equally informed. I just couldnt take it anymore. Such a relief to hear Trump.,https://www.youtube.com/watch?v=ftNx76VxZqM
"Donald Trump full speech at Madison Square Garden (Oct. 27, 2024)",WFAA,@randalljulien4741,2024-10-30T19:03:03Z,2024-10-30T19:03:03Z,0,The boss the goat trump top g.,https://www.youtube.com/watch?v=ftNx76VxZqM
"Donald Trump full speech at Madison Square Garden (Oct. 27, 2024)",WFAA,@mindjazz1,2024-10-30T18:39:53Z,2024-10-30T18:39:53Z,0,How anybody likes his talking style....blows my mind.  If you had a teacher in school that spoke in broken sentences you would drop out of class.,https://www.youtube.com/watch?v=ftNx76VxZqM
"Donald Trump full speech at Madison Square Garden (Oct. 27, 2024)",WFAA,@palkyaw8756,2024-10-30T16:01:32Z,2024-10-30T16:01:32Z,0,True you mine hallo,https://www.youtube.com/watch?v=ftNx76VxZqM
"Donald Trump full speech at Madison Square Garden (Oct. 27, 2024)",WFAA,@palkyaw8756,2024-10-30T16:00:20Z,2024-10-30T16:00:20Z,0,Good felling is inifinity,https://www.youtube.com/watch?v=ftNx76VxZqM
"Donald Trump full speech at Madison Square Garden (Oct. 27, 2024)",WFAA,@palkyaw8756,2024-10-30T15:59:17Z,2024-10-30T15:59:17Z,0,You very beauty you kiss me you fellung me?,https://www.youtube.com/watch?v=ftNx76VxZqM
"Donald Trump full speech at Madison Square Garden (Oct. 27, 2024)",WFAA,@palkyaw8756,2024-10-30T15:58:28Z,2024-10-30T15:58:28Z,0,Boy man you lady love?,https://www.youtube.com/watch?v=ftNx76VxZqM
"Donald Trump full speech at Madison Square Garden (Oct. 27, 2024)",WFAA,@palkyaw8756,2024-10-30T15:57:34Z,2024-10-30T15:57:34Z,0,Love you mine stay,https://www.youtube.com/watch?v=ftNx76VxZqM
