video_title,channel_uploader,author,publish_date,updated_date,like_count,text_display,url
Dr. Phil Makes The Case For Why Trump Is Not A 'Bully' At Madison Square Garden Campaign Rally,Forbes Breaking News,@laurenshannon2703,2024-10-31T05:40:21Z,2024-10-31T05:40:21Z,0,This thread of messages shows what it looks like without bots. What a joy!,https://www.youtube.com/watch?v=BtfMoZ9s8Sc
Dr. Phil Makes The Case For Why Trump Is Not A 'Bully' At Madison Square Garden Campaign Rally,Forbes Breaking News,@Benjemil23,2024-10-31T05:40:13Z,2024-10-31T05:40:13Z,0,So is Dr . Phil a Nazi now too according to MSM. 😭,https://www.youtube.com/watch?v=BtfMoZ9s8Sc
Dr. Phil Makes The Case For Why Trump Is Not A 'Bully' At Madison Square Garden Campaign Rally,Forbes Breaking News,@chutraiheo,2024-10-31T05:37:19Z,2024-10-31T05:37:19Z,0,"Thank you Dr Phil. Meanwhile, Trump easily climbs into the gabagge truck at 78. MAGA!",https://www.youtube.com/watch?v=BtfMoZ9s8Sc
Dr. Phil Makes The Case For Why Trump Is Not A 'Bully' At Madison Square Garden Campaign Rally,Forbes Breaking News,@zhangd1000,2024-10-31T05:36:24Z,2024-10-31T05:36:24Z,0,Love Robin❤,https://www.youtube.com/watch?v=BtfMoZ9s8Sc
Dr. Phil Makes The Case For Why Trump Is Not A 'Bully' At Madison Square Garden Campaign Rally,Forbes Breaking News,@faithisindemand,2024-10-31T05:36:15Z,2024-10-31T05:36:15Z,0,Is Kamala wins we are screwed she’s evil and tyrannical if Kamala wins the election’s rigged.,https://www.youtube.com/watch?v=BtfMoZ9s8Sc
Dr. Phil Makes The Case For Why Trump Is Not A 'Bully' At Madison Square Garden Campaign Rally,Forbes Breaking News,@sharonwittmayer1221,2024-10-31T05:35:53Z,2024-10-31T05:35:53Z,0,GREAT MESSAGE! ❤🙌🏻🇺🇸,https://www.youtube.com/watch?v=BtfMoZ9s8Sc
Dr. Phil Makes The Case For Why Trump Is Not A 'Bully' At Madison Square Garden Campaign Rally,Forbes Breaking News,@TroyJones-z1c,2024-10-31T05:34:27Z,2024-10-31T05:34:27Z,0,"this man should run for president next! <a href=""http://www.youtube.com/results?search_query=%23drphil2028"">#drphil2028</a>",https://www.youtube.com/watch?v=BtfMoZ9s8Sc
Dr. Phil Makes The Case For Why Trump Is Not A 'Bully' At Madison Square Garden Campaign Rally,Forbes Breaking News,@zhangd1000,2024-10-31T05:33:10Z,2024-10-31T05:33:10Z,0,Love Dr. Phil❤,https://www.youtube.com/watch?v=BtfMoZ9s8Sc
Dr. Phil Makes The Case For Why Trump Is Not A 'Bully' At Madison Square Garden Campaign Rally,Forbes Breaking News,@gabriellejudd1,2024-10-31T05:32:56Z,2024-10-31T05:32:56Z,0,"Another Grifter,  he is another one full of B.S.😅😅😅😅",https://www.youtube.com/watch?v=BtfMoZ9s8Sc
Dr. Phil Makes The Case For Why Trump Is Not A 'Bully' At Madison Square Garden Campaign Rally,Forbes Breaking News,@tyleralexander5404,2024-10-31T05:32:34Z,2024-10-31T05:32:34Z,0,thank you adam ray,https://www.youtube.com/watch?v=BtfMoZ9s8Sc
Dr. Phil Makes The Case For Why Trump Is Not A 'Bully' At Madison Square Garden Campaign Rally,Forbes Breaking News,@eatyourcereal2155,2024-10-31T05:30:46Z,2024-10-31T05:30:46Z,0,What&#39;s adam ray doing at a trump rally?,https://www.youtube.com/watch?v=BtfMoZ9s8Sc
