video_title,channel_uploader,author,publish_date,updated_date,like_count,text_display,url
FULL REMARKS: Comedian Tony Hinchcliffe Speaks At Trump's Rally At Madison Square Garden In NYC,Forbes Breaking News,@antoncolenbrander6597,2024-10-31T05:29:57Z,2024-10-31T05:29:57Z,0,"Firstly, the comedian said it, not Trump, but the reason behind the garbage comment is because Puerto Rico has 32 dump sites on the small island and Biden / Harris admin have refused to address the problem, not even allowing them to burn the trash.  As a result some of the dump sites have overflowed into the river systems and into the sea.  Perhaps now that the problem has been highlighted, when Donald Trump becomes president again he and his team will provide funding and assistance to address this awful situation for Puerto Rico.",https://www.youtube.com/watch?v=4sjLNxnKKxY
FULL REMARKS: Comedian Tony Hinchcliffe Speaks At Trump's Rally At Madison Square Garden In NYC,Forbes Breaking News,@PeteLG,2024-10-31T05:25:45Z,2024-10-31T05:25:45Z,0,"Of all the comedians it had to be a Shmuck who doesn&#39;t know there is few mln Puerto Ricans living in US, yeah why don&#39;t we try their sense of humor in oohh THE only most important election of a century ?!!!",https://www.youtube.com/watch?v=4sjLNxnKKxY
FULL REMARKS: Comedian Tony Hinchcliffe Speaks At Trump's Rally At Madison Square Garden In NYC,Forbes Breaking News,@teteasailomagnus4595,2024-10-31T05:23:36Z,2024-10-31T05:23:36Z,0,Its actually funny,https://www.youtube.com/watch?v=4sjLNxnKKxY
FULL REMARKS: Comedian Tony Hinchcliffe Speaks At Trump's Rally At Madison Square Garden In NYC,Forbes Breaking News,@terencemckenna9630,2024-10-31T05:21:06Z,2024-10-31T05:21:06Z,1,"Holy Christ, the people calling liberals snowflakes are now complaining about a joke, yeah real thick skin conservatives 😂 now no one has a sense of humor, Americans are doomed",https://www.youtube.com/watch?v=4sjLNxnKKxY
FULL REMARKS: Comedian Tony Hinchcliffe Speaks At Trump's Rally At Madison Square Garden In NYC,Forbes Breaking News,@victordelorientis8763,2024-10-31T05:16:45Z,2024-10-31T05:16:45Z,0,What is the point to have a rally in New York city if it&#39;s to insult Puerto Rico and puertoricans?? Right before the elections and knowing that New York gave the House to the Republicans.. This is unbelievable. You have to do it on purpose to be so counterproductive..,https://www.youtube.com/watch?v=4sjLNxnKKxY
FULL REMARKS: Comedian Tony Hinchcliffe Speaks At Trump's Rally At Madison Square Garden In NYC,Forbes Breaking News,@tylercohen2235,2024-10-31T05:15:29Z,2024-10-31T05:15:29Z,0,Is he doing this to troll the republicans or is he sincere?,https://www.youtube.com/watch?v=4sjLNxnKKxY
FULL REMARKS: Comedian Tony Hinchcliffe Speaks At Trump's Rally At Madison Square Garden In NYC,Forbes Breaking News,@miked5728,2024-10-31T04:57:07Z,2024-10-31T04:57:07Z,0,"Why was this guy picked to be there?? A comedian who&#39;s style is to roast people and groups? Not worth the risk, KNOWING that the main stream media is looking for ANY excuse to make Trump look bad.",https://www.youtube.com/watch?v=4sjLNxnKKxY
FULL REMARKS: Comedian Tony Hinchcliffe Speaks At Trump's Rally At Madison Square Garden In NYC,Forbes Breaking News,@ProgSnob14,2024-10-31T04:54:02Z,2024-10-31T04:54:02Z,0,MAGA,https://www.youtube.com/watch?v=4sjLNxnKKxY
FULL REMARKS: Comedian Tony Hinchcliffe Speaks At Trump's Rally At Madison Square Garden In NYC,Forbes Breaking News,@pjnolan7989,2024-10-31T04:51:29Z,2024-10-31T04:51:29Z,0,"Asking for his shoes &quot;like it&#39;s a one night stand&quot;. Or in Trump&#39;s case, after another SA.",https://www.youtube.com/watch?v=4sjLNxnKKxY
FULL REMARKS: Comedian Tony Hinchcliffe Speaks At Trump's Rally At Madison Square Garden In NYC,Forbes Breaking News,@victordelorientis8763,2024-10-31T04:48:33Z,2024-10-31T04:48:33Z,0,"And out of nowhere, Hinchcliffe attacks Puerto Rico?!?.. Why??.. Another self inflicted wound, all my congratulations Republicans!! To all the self inflicted wounds, this one is probably the deepest one.",https://www.youtube.com/watch?v=4sjLNxnKKxY
FULL REMARKS: Comedian Tony Hinchcliffe Speaks At Trump's Rally At Madison Square Garden In NYC,Forbes Breaking News,@Almaonthego,2024-10-31T04:46:24Z,2024-10-31T04:46:24Z,0,LA Dodgers are the World Series Champions🎉🎉🎉🎉🎉🎉🎉🎉,https://www.youtube.com/watch?v=4sjLNxnKKxY
FULL REMARKS: Comedian Tony Hinchcliffe Speaks At Trump's Rally At Madison Square Garden In NYC,Forbes Breaking News,@dustyrose961,2024-10-31T04:32:38Z,2024-10-31T04:32:38Z,0,I don&#39;t think he&#39;s that funny....,https://www.youtube.com/watch?v=4sjLNxnKKxY
FULL REMARKS: Comedian Tony Hinchcliffe Speaks At Trump's Rally At Madison Square Garden In NYC,Forbes Breaking News,@brandonbergemann,2024-10-31T04:31:58Z,2024-10-31T04:31:58Z,0,If you can’t be un-offendable then life’s gonna be rough,https://www.youtube.com/watch?v=4sjLNxnKKxY
FULL REMARKS: Comedian Tony Hinchcliffe Speaks At Trump's Rally At Madison Square Garden In NYC,Forbes Breaking News,@clintonlemarluke1507,2024-10-31T04:30:04Z,2024-10-31T04:30:04Z,0,&quot;We vote next week. God voted 3 months ago.&quot;,https://www.youtube.com/watch?v=4sjLNxnKKxY
FULL REMARKS: Comedian Tony Hinchcliffe Speaks At Trump's Rally At Madison Square Garden In NYC,Forbes Breaking News,@highfashionbynddtv7558,2024-10-31T04:29:48Z,2024-10-31T04:29:48Z,0,Why to prove your party isn&#39;t racist 🙄,https://www.youtube.com/watch?v=4sjLNxnKKxY
