video_title,channel_uploader,author,publish_date,updated_date,like_count,text_display,url
"FULL SPEECH: Kamala Harris at the Ellipse in Washington, DC",ABC News,@oneofbillions999,2024-10-31T05:34:42Z,2024-10-31T05:34:42Z,0,"as a european i beg you on my knees, please not the orange haired racist idiot again. please....please.....please...",https://www.youtube.com/watch?v=kaE6FhbWVxM
"FULL SPEECH: Kamala Harris at the Ellipse in Washington, DC",ABC News,@ScottEllis-k5p,2024-10-31T05:28:55Z,2024-10-31T05:28:55Z,0,Kamala Harris is a evil person just look up will show you people that she makes it obvious that she is depopulateing us all with massive chemical trails no joke please don&#39;t vote for that trash,https://www.youtube.com/watch?v=kaE6FhbWVxM
"FULL SPEECH: Kamala Harris at the Ellipse in Washington, DC",ABC News,@sebbvell3426,2024-10-31T05:27:31Z,2024-10-31T05:28:12Z,0,THAT&#39;S OUR PRESIDENT,https://www.youtube.com/watch?v=kaE6FhbWVxM
"FULL SPEECH: Kamala Harris at the Ellipse in Washington, DC",ABC News,@alekmajeski7528,2024-10-31T05:24:45Z,2024-10-31T05:24:45Z,0,She is a puppet,https://www.youtube.com/watch?v=kaE6FhbWVxM
"FULL SPEECH: Kamala Harris at the Ellipse in Washington, DC",ABC News,@Humansofearth2941,2024-10-31T05:22:02Z,2024-10-31T05:22:02Z,0,"As a non-American, I can honestly not understand why any self respecting American would ever vote for this woman. She has never said anything authentic nor intelligent. But you know what: people get the government they deserve....",https://www.youtube.com/watch?v=kaE6FhbWVxM
"FULL SPEECH: Kamala Harris at the Ellipse in Washington, DC",ABC News,@sebbvell3426,2024-10-31T05:21:47Z,2024-10-31T05:21:47Z,0,The Popular Vote is the true will of the people,https://www.youtube.com/watch?v=kaE6FhbWVxM
"FULL SPEECH: Kamala Harris at the Ellipse in Washington, DC",ABC News,@peterfultz4547,2024-10-31T05:17:19Z,2024-10-31T05:17:19Z,1,"We need her in the White House. Trump in the White House will be another 4 years ago on re-do! we can&#39;t let that happen again! he&#39;s a man that speaks his mind only and cares for one person, Himself! Please do the right thing this time!",https://www.youtube.com/watch?v=kaE6FhbWVxM
"FULL SPEECH: Kamala Harris at the Ellipse in Washington, DC",ABC News,@marcopolo-xj4yw,2024-10-31T05:14:34Z,2024-10-31T05:14:34Z,0,Kamala is gonna bring down prices by keeping the borders open to the world and giving more freebies to everyone.,https://www.youtube.com/watch?v=kaE6FhbWVxM
"FULL SPEECH: Kamala Harris at the Ellipse in Washington, DC",ABC News,@michaelpiwcewicz1412,2024-10-31T05:14:15Z,2024-10-31T05:14:15Z,1,TRUMP LAKE  2024// WINNERS,https://www.youtube.com/watch?v=kaE6FhbWVxM
"FULL SPEECH: Kamala Harris at the Ellipse in Washington, DC",ABC News,@michaelpiwcewicz1412,2024-10-31T05:13:55Z,2024-10-31T05:13:55Z,1,HOW MUCH WERE THEY PAID TO BE THERE $100.00 EACH ?????,https://www.youtube.com/watch?v=kaE6FhbWVxM
"FULL SPEECH: Kamala Harris at the Ellipse in Washington, DC",ABC News,@terryadams3489,2024-10-31T05:08:21Z,2024-10-31T05:08:21Z,1,she has helped me think to be a better neighbor and American,https://www.youtube.com/watch?v=kaE6FhbWVxM
"FULL SPEECH: Kamala Harris at the Ellipse in Washington, DC",ABC News,@1909Kris,2024-10-31T05:01:47Z,2024-10-31T05:01:47Z,1,I&#39;m more than pro Harris! Another round of Trump would be a nightmare... But can we all agree that she kinda sounds like Janice from Friends 😅.  But jokes aside. Go Harris 🙌,https://www.youtube.com/watch?v=kaE6FhbWVxM
"FULL SPEECH: Kamala Harris at the Ellipse in Washington, DC",ABC News,@joeypritchard5609,2024-10-31T05:01:23Z,2024-10-31T05:01:23Z,1,Please God let this woman become President. We are so weary of all the hate from the past 9 years,https://www.youtube.com/watch?v=kaE6FhbWVxM
"FULL SPEECH: Kamala Harris at the Ellipse in Washington, DC",ABC News,@QuickFactJourney,2024-10-31T04:58:11Z,2024-10-31T04:58:11Z,1,Women are not mentally built to rule anyone. US is screwed if she wins,https://www.youtube.com/watch?v=kaE6FhbWVxM
"FULL SPEECH: Kamala Harris at the Ellipse in Washington, DC",ABC News,@sTr33TThug67,2024-10-31T04:57:17Z,2024-10-31T04:57:17Z,0,She has her speech posted to her right and shes reading evertthing hahahah,https://www.youtube.com/watch?v=kaE6FhbWVxM
"FULL SPEECH: Kamala Harris at the Ellipse in Washington, DC",ABC News,@senelsavas.,2024-10-31T04:54:57Z,2024-10-31T04:54:57Z,0,Humility is not just an adjective for you,https://www.youtube.com/watch?v=kaE6FhbWVxM
"FULL SPEECH: Kamala Harris at the Ellipse in Washington, DC",ABC News,@_GloryHolz,2024-10-31T04:52:47Z,2024-10-31T04:52:47Z,0,"Trump 2024. Be honest people. She created the immigration, inflation and world war problems she’s not going to fix them.",https://www.youtube.com/watch?v=kaE6FhbWVxM
"FULL SPEECH: Kamala Harris at the Ellipse in Washington, DC",ABC News,@Monee1885,2024-10-31T04:49:44Z,2024-10-31T04:49:44Z,1,Where is her white husband?,https://www.youtube.com/watch?v=kaE6FhbWVxM
