video_title,channel_uploader,author,publish_date,updated_date,like_count,text_display,url
Harris denounces Trump's comments about women at Wisconsin rally,ABC News,@jasonhovick6193,2024-11-01T00:06:02Z,2024-11-01T00:06:02Z,0,Make America even Greater: Send Trump and Musk on a one way trip to Mars!,https://www.youtube.com/watch?v=6Efm-_0Rhbk
Harris denounces Trump's comments about women at Wisconsin rally,ABC News,@gettinjiggywitit5332,2024-11-01T00:04:19Z,2024-11-01T00:04:19Z,0,"Have some more Cocaine you witch,Trump 24",https://www.youtube.com/watch?v=6Efm-_0Rhbk
Harris denounces Trump's comments about women at Wisconsin rally,ABC News,@JNB0723,2024-11-01T00:03:23Z,2024-11-01T00:03:23Z,0,"Republicans are nationalist, fascist, and some of them Nazis... and they get mad when we call them out.",https://www.youtube.com/watch?v=6Efm-_0Rhbk
Harris denounces Trump's comments about women at Wisconsin rally,ABC News,@Shay_-cq2cl,2024-11-01T00:00:59Z,2024-11-01T00:00:59Z,0,Trump did NOT take away a woman’s right to kill her baby. It’s just not a federal issue anymore. It is now each state’s right to put limits or not. Why haven’t the democrats codified RvW all the times they controlled both houses and the presidency??,https://www.youtube.com/watch?v=6Efm-_0Rhbk
Harris denounces Trump's comments about women at Wisconsin rally,ABC News,@realityreal6861,2024-10-31T23:59:19Z,2024-10-31T23:59:19Z,0,"Beware of comments here against Harris, those are from russian bots, don&#39;t believe them.",https://www.youtube.com/watch?v=6Efm-_0Rhbk
Harris denounces Trump's comments about women at Wisconsin rally,ABC News,@eromanjr43,2024-10-31T23:54:23Z,2024-10-31T23:56:40Z,0,"She is more lost than the cast of  &quot;lost in space&quot;, she lives in another dimension in another multiverse. Kamaliar can be president over there. Trump can protect them all except kamacaca, mrs deplorable, the witches of the view and those idiots from cnn, msnbc.",https://www.youtube.com/watch?v=6Efm-_0Rhbk
Harris denounces Trump's comments about women at Wisconsin rally,ABC News,@waskeysr,2024-10-31T23:52:01Z,2024-10-31T23:52:01Z,0,Lies,https://www.youtube.com/watch?v=6Efm-_0Rhbk
Harris denounces Trump's comments about women at Wisconsin rally,ABC News,@freywayne6574,2024-10-31T23:35:56Z,2024-10-31T23:35:56Z,0,"When you lie as much as the Democrats and the MSM do, it can&#39;t be helped, it takes a serious toll on your mind and body, Kharma comes for you like a relentless wave, a Tsunami of retribution and justice, beware....",https://www.youtube.com/watch?v=6Efm-_0Rhbk
Harris denounces Trump's comments about women at Wisconsin rally,ABC News,@3ER_AP,2024-10-31T23:23:50Z,2024-10-31T23:23:50Z,0,Wow. The desperation. Harris is as Machiavellian as they come.😆 Does Harris have no shame? She is taking a comment about security completely out of context to one again mislead and scare people. This has to be another example of some of the most dishonest behavior you’ll see from a politician. This is almost as bad as Harris doing a presser about a debunked story about Trump and Gen. Kelly.,https://www.youtube.com/watch?v=6Efm-_0Rhbk
Harris denounces Trump's comments about women at Wisconsin rally,ABC News,@mhuffman6282,2024-10-31T23:18:51Z,2024-10-31T23:18:51Z,0,"No one mentioned her husband’s treatment-of women in-the workplace, his baby sitter he impregnated and his first wife divorced him. Then there’s his ex girlfriend who has reported he slapped her so hard she spun around at a Paris event. Verified by friends of hers as well. No one reporting this. Trump isn’t banning abortions. He is improving ACA not eliminating it. Preexisting conditions will be covered   She’s lying",https://www.youtube.com/watch?v=6Efm-_0Rhbk
Harris denounces Trump's comments about women at Wisconsin rally,ABC News,@SpaceX-Falcon-Heavy,2024-10-31T23:16:57Z,2024-10-31T23:16:57Z,0,nice try diddy,https://www.youtube.com/watch?v=6Efm-_0Rhbk
Harris denounces Trump's comments about women at Wisconsin rally,ABC News,@barnowl411,2024-10-31T23:16:30Z,2024-10-31T23:16:30Z,0,"He was talking about border security and foreign wars, but no doesnt fit the narrative",https://www.youtube.com/watch?v=6Efm-_0Rhbk
Harris denounces Trump's comments about women at Wisconsin rally,ABC News,@BestCat2EverLive,2024-10-31T23:06:34Z,2024-10-31T23:06:34Z,0,"Unlike the laughing hyena Harris, Trump will make Putin an offer he can&#39;t refuse and the war will end! The problem is, most of our women are going to vote for Harris, which means she&#39;s going to be our next president and our country will go down hill from there! Save this comment and put it on your fridge! If I were you, I&#39;d get on my knees and start praying, because the end is going to come in 2025...!",https://www.youtube.com/watch?v=6Efm-_0Rhbk
Harris denounces Trump's comments about women at Wisconsin rally,ABC News,@niakristen7509,2024-10-31T23:04:06Z,2024-10-31T23:04:06Z,0,Y’all please don’t vote for this woman she’s had 4?years she’s don’t nothing,https://www.youtube.com/watch?v=6Efm-_0Rhbk
Harris denounces Trump's comments about women at Wisconsin rally,ABC News,@niakristen7509,2024-10-31T23:03:30Z,2024-10-31T23:03:30Z,0,Trumps are man if he can’t do it know one can!!!!!!!!,https://www.youtube.com/watch?v=6Efm-_0Rhbk
