video_title,channel_uploader,author,publish_date,updated_date,like_count,text_display,url
JD Vance at Trump rally in NYC: FULL SPEECH,FOX 4 Dallas-Fort Worth,@wademarshall4158,2024-10-31T03:07:22Z,2024-10-31T03:07:22Z,0,That was the best K. Harris joke I&#39;ve heard yet...&quot;Kamala Harris. Nothing comes to mind.&quot; Bloody epic! 😂😂😂,https://www.youtube.com/watch?v=5t6_jR6M2-0
JD Vance at Trump rally in NYC: FULL SPEECH,FOX 4 Dallas-Fort Worth,@Barbara-iq6yr,2024-10-30T23:34:43Z,2024-10-30T23:34:43Z,0,J D has no business being in or near the White House!,https://www.youtube.com/watch?v=5t6_jR6M2-0
JD Vance at Trump rally in NYC: FULL SPEECH,FOX 4 Dallas-Fort Worth,@djayt1215,2024-10-30T22:29:40Z,2024-10-30T22:29:40Z,0,"He is a great orator. Vance, tulsi, vivek, DeSantis. We can&#39;t go wrong.",https://www.youtube.com/watch?v=5t6_jR6M2-0
JD Vance at Trump rally in NYC: FULL SPEECH,FOX 4 Dallas-Fort Worth,@celiarodriguez2999,2024-10-30T22:18:37Z,2024-10-30T22:18:37Z,0,I know the. Jerk. Comedian. Tony. Hicdthcliff.made. Sour. Jokes. Against. Puerto. Rico and. Against. Latinos. But. Kamala is. a. NITWIT. We. Must. Vote. RED. VOTE. TRUMP ❤❤❤❤❤❤❤❤❤❤❤❤❤❤,https://www.youtube.com/watch?v=5t6_jR6M2-0
JD Vance at Trump rally in NYC: FULL SPEECH,FOX 4 Dallas-Fort Worth,@patrickdrake5560,2024-10-30T21:32:50Z,2024-10-30T21:32:50Z,0,Let’s go trump . Let’s go trump 2024,https://www.youtube.com/watch?v=5t6_jR6M2-0
JD Vance at Trump rally in NYC: FULL SPEECH,FOX 4 Dallas-Fort Worth,@patrickdrake5560,2024-10-30T21:32:09Z,2024-10-30T21:32:09Z,0,Trump 2024 let’s go trump.,https://www.youtube.com/watch?v=5t6_jR6M2-0
JD Vance at Trump rally in NYC: FULL SPEECH,FOX 4 Dallas-Fort Worth,@user-cb8ph2fp8i,2024-10-30T19:43:42Z,2024-10-30T19:43:42Z,0,"Kamala has no children, no family, nothing, hell, nothing. THIS IS SAD! Such a man is not for leading the country!<a href=""UCkszU2WH9gy1mb0dV-11UJg/G8AfY6yWGuKuhL0PlbiA2AE""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/G8AfY6yWGuKuhL0PlbiA2AE""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/G8AfY6yWGuKuhL0PlbiA2AE""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/G8AfY6yWGuKuhL0PlbiA2AE""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/G8AfY6yWGuKuhL0PlbiA2AE""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/G8AfY6yWGuKuhL0PlbiA2AE""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/G8AfY6yWGuKuhL0PlbiA2AE""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/G8AfY6yWGuKuhL0PlbiA2AE""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/G8AfY6yWGuKuhL0PlbiA2AE""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/G8AfY6yWGuKuhL0PlbiA2AE""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/G8AfY6yWGuKuhL0PlbiA2AE""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/G8AfY6yWGuKuhL0PlbiA2AE""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/W8IfY_bwAfiPq7IPvNCA2AU""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/W8IfY_bwAfiPq7IPvNCA2AU""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/W8IfY_bwAfiPq7IPvNCA2AU""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/W8IfY_bwAfiPq7IPvNCA2AU""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/W8IfY_bwAfiPq7IPvNCA2AU""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/W8IfY_bwAfiPq7IPvNCA2AU""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/W8IfY_bwAfiPq7IPvNCA2AU""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/W8IfY_bwAfiPq7IPvNCA2AU""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/W8IfY_bwAfiPq7IPvNCA2AU""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/W8IfY_bwAfiPq7IPvNCA2AU""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/W8IfY_bwAfiPq7IPvNCA2AU""></a>",https://www.youtube.com/watch?v=5t6_jR6M2-0
JD Vance at Trump rally in NYC: FULL SPEECH,FOX 4 Dallas-Fort Worth,@austindukes1089,2024-10-30T18:38:48Z,2024-10-30T18:38:48Z,0,I think Vance is winning this race not Trump,https://www.youtube.com/watch?v=5t6_jR6M2-0
JD Vance at Trump rally in NYC: FULL SPEECH,FOX 4 Dallas-Fort Worth,@kris-vs7ed,2024-10-30T18:23:26Z,2024-10-30T18:25:12Z,0,"I&#39;ve read JD Vance&#39;s biography. &quot;Hillbilly Elergy&quot;. It is miraculous how this man, from where he came from,  is where he is, it&#39;s unbelievable.  Having said that, he needs to follow the constitution, and he needs to observe the separation of church and state.",https://www.youtube.com/watch?v=5t6_jR6M2-0
JD Vance at Trump rally in NYC: FULL SPEECH,FOX 4 Dallas-Fort Worth,@Texasredd2308,2024-10-30T16:27:13Z,2024-10-30T16:27:13Z,0,Future President right there son,https://www.youtube.com/watch?v=5t6_jR6M2-0
