video_title,channel_uploader,author,publish_date,updated_date,like_count,text_display,url
"Julia Roberts Reminds Us - Your Vote, Your Choice",Vote Common Good,@BethSanchezSmithC131,2024-11-01T00:07:53Z,2024-11-01T00:07:53Z,0,Ouch,https://www.youtube.com/watch?v=FaCPck2qDhk
"Julia Roberts Reminds Us - Your Vote, Your Choice",Vote Common Good,@MajorKerina,2024-11-01T00:00:25Z,2024-11-01T00:00:25Z,0,This was creepy and unsettling AF,https://www.youtube.com/watch?v=FaCPck2qDhk
"Julia Roberts Reminds Us - Your Vote, Your Choice",Vote Common Good,@themarquise4666,2024-10-31T23:49:10Z,2024-10-31T23:50:12Z,0,"Best every. <a href=""http://www.youtube.com/results?search_query=%23girlsruleboysdrool"">#girlsruleboysdrool</a> <a href=""http://www.youtube.com/results?search_query=%23dumptrump"">#dumptrump</a>",https://www.youtube.com/watch?v=FaCPck2qDhk
"Julia Roberts Reminds Us - Your Vote, Your Choice",Vote Common Good,@luangoubeaux3876,2024-10-31T23:46:52Z,2024-10-31T23:51:21Z,0,"I&#39;m very confused.  Men are men, men are bad, men don&#39;t have to be masculine, let&#39;s drink a beer, men can be women, we can&#39;t say biologically what a woman is, men are threatening to woman&#39;s rights and choices, let&#39;s promote little girls wanting to be boys, love everybody, let&#39;s kill babies and by God, the voting booth is the ONLY place I&#39;m allowed to make up my own mind.  My husband does not like Donald Trump.  I do. He knows that.  I can vote for whomever I choose, as can he.  I didn&#39;t need an actress to tell me it&#39;s ok to hide it from him.  Hollywood needs to stay out of politics.  They aren&#39;t the ones hurting financially, stop now ... trying to cause division between husbands and wives.  I&#39;m so sick of all of this.  The last 4 years have sucked.  I hope Trump wins and I wish all would just let him be President.  Media, you suck! Shame on you for your lies and one sided reporting.  You promote and lift 50% of the population, try telling the truth, try reporting the actual news rather than your opinions, which also tear this county apart.  Be unbiased to 100% of us.  We deserve that. I&#39;m HAPPY to be garbage.",https://www.youtube.com/watch?v=FaCPck2qDhk
"Julia Roberts Reminds Us - Your Vote, Your Choice",Vote Common Good,@tomrieke3059,2024-10-31T23:40:20Z,2024-10-31T23:40:20Z,0,Totally OK. She lies to him because he has no right to know how she voted. And she reminds him that she also has no right to ask him how he voted. But yes: The incomplete coverage of the oval on the ballot is probably invalid. Maybe she was still undecided when she saw the ballot.,https://www.youtube.com/watch?v=FaCPck2qDhk
"Julia Roberts Reminds Us - Your Vote, Your Choice",Vote Common Good,@adamwarlock3530,2024-10-31T23:37:17Z,2024-10-31T23:37:17Z,0,Harris teaching women what she&#39;s best at. Lying.,https://www.youtube.com/watch?v=FaCPck2qDhk
"Julia Roberts Reminds Us - Your Vote, Your Choice",Vote Common Good,@ricky1231,2024-10-31T23:31:28Z,2024-10-31T23:31:28Z,0,👌🏻👌🏻👌🏻👌🏻👌🏻👌🏻❤️❤️❤️,https://www.youtube.com/watch?v=FaCPck2qDhk
"Julia Roberts Reminds Us - Your Vote, Your Choice",Vote Common Good,@guinness718,2024-10-31T23:29:50Z,2024-10-31T23:29:50Z,0,"💥Tis the &quot;political&quot; season ...and suddenly the Democrats know what a woman is<br><br>I recall a time not too long ago when Democrats were supporting transgender inclusion in women&#39;s sports and expressing difficulty in defining what constitutes a woman.<br><br>Lia Thomas - in 2022 NCAA 200-yard freestyle championship<br>Aayden Gallagher - in Oregon girls high school state championship<br>Terry Miller - Connecticut girls Class S indoor track meet, Conn., in 2020<br><br>Judge Ketanji Brown Jackson cannot Define what a woman is (i&#39;m not a biologist)<br><a href=""https://www.youtube.com/watch?v=GZxi3AnRpxs"">https://www.youtube.com/watch?v=GZxi3AnRpxs</a>",https://www.youtube.com/watch?v=FaCPck2qDhk
"Julia Roberts Reminds Us - Your Vote, Your Choice",Vote Common Good,@aussieleah3377,2024-10-31T23:24:25Z,2024-10-31T23:24:25Z,0,Nope! And Julia - we are done with your out of touch mentality. 👏🏻 and while we are at it… Celebrities and musicians… Nobody cares what you think!! 👏🏻,https://www.youtube.com/watch?v=FaCPck2qDhk
"Julia Roberts Reminds Us - Your Vote, Your Choice",Vote Common Good,@BrianS-ny9yd,2024-10-31T23:15:18Z,2024-10-31T23:15:18Z,1,It&#39;s unfortunate not everyone has a healthy relationship built on love and trust like Donald and Ivana-- Don and Marla-- Melania-- Stormy--...,https://www.youtube.com/watch?v=FaCPck2qDhk
"Julia Roberts Reminds Us - Your Vote, Your Choice",Vote Common Good,@fhlstables,2024-10-31T23:05:14Z,2024-10-31T23:05:14Z,0,"Kamala/ Harris who believe in aborting female babies, believe in men using women&#39;s bathrooms and men playing against women in women&#39;s sports. You all disgust me with your true hatred of women!!!!!",https://www.youtube.com/watch?v=FaCPck2qDhk
"Julia Roberts Reminds Us - Your Vote, Your Choice",Vote Common Good,@Trumpturd,2024-10-31T23:03:15Z,2024-10-31T23:03:15Z,0,Struck a nerve with men that expect their woman to be subservient. Snowflakes ❄️,https://www.youtube.com/watch?v=FaCPck2qDhk
