video_title,channel_uploader,author,publish_date,updated_date,like_count,text_display,url
MUST WATCH: Kamala Harris' Disastrous Interview with Fox News,Donald J Trump,@theaustinlewisPP,2024-10-31T05:27:19Z,2024-10-31T05:27:19Z,0,And people are voting for this “thing”? 😂 wtf,https://www.youtube.com/watch?v=aLC2XjW_Z08
MUST WATCH: Kamala Harris' Disastrous Interview with Fox News,Donald J Trump,@benB33388,2024-10-31T05:12:08Z,2024-10-31T05:12:08Z,0,She made a lot of noise but said absolutely nothing.,https://www.youtube.com/watch?v=aLC2XjW_Z08
MUST WATCH: Kamala Harris' Disastrous Interview with Fox News,Donald J Trump,@w31d88,2024-10-31T05:11:09Z,2024-10-31T05:11:09Z,0,"Canada, US.. we need to step it up before we get stepped on!<br>                                          It&#39;s Time",https://www.youtube.com/watch?v=aLC2XjW_Z08
MUST WATCH: Kamala Harris' Disastrous Interview with Fox News,Donald J Trump,@sonsx2092,2024-10-31T05:02:15Z,2024-10-31T05:02:15Z,0,she talks like a psycho about the loss of the young women,https://www.youtube.com/watch?v=aLC2XjW_Z08
MUST WATCH: Kamala Harris' Disastrous Interview with Fox News,Donald J Trump,@James2_503d,2024-10-31T04:55:40Z,2024-10-31T04:55:40Z,0,"GF really luv her some Trump. Couldn’t take him out of her mouth. “Madam Vice President, when did you see the declination of President Biden, well Trump is…” 😂",https://www.youtube.com/watch?v=aLC2XjW_Z08
MUST WATCH: Kamala Harris' Disastrous Interview with Fox News,Donald J Trump,@betinhamurta208,2024-10-31T04:52:08Z,2024-10-31T04:52:08Z,0,Well… she just delivered her head on this election…,https://www.youtube.com/watch?v=aLC2XjW_Z08
MUST WATCH: Kamala Harris' Disastrous Interview with Fox News,Donald J Trump,@marmeljaz,2024-10-31T04:44:54Z,2024-10-31T04:44:54Z,0,What a stupid person,https://www.youtube.com/watch?v=aLC2XjW_Z08
MUST WATCH: Kamala Harris' Disastrous Interview with Fox News,Donald J Trump,@djklepto1996,2024-10-31T04:38:18Z,2024-10-31T04:38:18Z,0,What a joke lol,https://www.youtube.com/watch?v=aLC2XjW_Z08
MUST WATCH: Kamala Harris' Disastrous Interview with Fox News,Donald J Trump,@joshsmeenk1107,2024-10-31T04:22:39Z,2024-10-31T04:23:48Z,0,"<a href=""https://www.youtube.com/watch?v=aLC2XjW_Z08&amp;t=705"">11:45</a> &quot;Well, you know what, you gotta take responsible for what happened in your administration&quot; meanwhile she she couldnt own up to anything, not one single thing.",https://www.youtube.com/watch?v=aLC2XjW_Z08
MUST WATCH: Kamala Harris' Disastrous Interview with Fox News,Donald J Trump,@drewfernelius3330,2024-10-31T04:07:38Z,2024-10-31T04:07:38Z,0,"Same ear rings, she couldn&#39;t answer a question to save her life.",https://www.youtube.com/watch?v=aLC2XjW_Z08
MUST WATCH: Kamala Harris' Disastrous Interview with Fox News,Donald J Trump,@johny.3218,2024-10-31T04:05:50Z,2024-10-31T04:05:50Z,0,"I find it hilarious how Harris is constantly blaming and pointing fingers toward President Donald J. Trump, and just spewing what is excrement from the anus of her mouth, just pure utter nonsense and straight up lies.",https://www.youtube.com/watch?v=aLC2XjW_Z08
MUST WATCH: Kamala Harris' Disastrous Interview with Fox News,Donald J Trump,@CounterStrikeMogger,2024-10-31T03:55:53Z,2024-10-31T03:55:53Z,0,This is why women are not ready to be president,https://www.youtube.com/watch?v=aLC2XjW_Z08
MUST WATCH: Kamala Harris' Disastrous Interview with Fox News,Donald J Trump,@toreytaylor6553,2024-10-31T03:52:54Z,2024-10-31T03:52:54Z,0,😂😂😂 🔥🔥🔥🔥,https://www.youtube.com/watch?v=aLC2XjW_Z08
MUST WATCH: Kamala Harris' Disastrous Interview with Fox News,Donald J Trump,@itsprincejay9810,2024-10-31T03:48:33Z,2024-10-31T03:48:33Z,0,She just made my migraine worse gn. And TRUMP 2024🇺🇸,https://www.youtube.com/watch?v=aLC2XjW_Z08
MUST WATCH: Kamala Harris' Disastrous Interview with Fox News,Donald J Trump,@peternicholson3964,2024-10-31T03:46:17Z,2024-10-31T03:46:17Z,0,"How? Just how, can anyone vote for this psychopath? Honestly, this is sad. The fact that this blabbering moron could be our next president is frightening.",https://www.youtube.com/watch?v=aLC2XjW_Z08
MUST WATCH: Kamala Harris' Disastrous Interview with Fox News,Donald J Trump,@userjones3399,2024-10-31T03:36:02Z,2024-10-31T03:36:02Z,0,Word salad!.. side stepping every question!,https://www.youtube.com/watch?v=aLC2XjW_Z08
MUST WATCH: Kamala Harris' Disastrous Interview with Fox News,Donald J Trump,@braydennowak1953,2024-10-31T03:31:10Z,2024-10-31T03:31:10Z,0,pick a fucking person who can ask a question without interrupting the answer 🤣,https://www.youtube.com/watch?v=aLC2XjW_Z08
MUST WATCH: Kamala Harris' Disastrous Interview with Fox News,Donald J Trump,@qpraulitoqp,2024-10-31T03:17:09Z,2024-10-31T03:17:09Z,0,Didn’t they just turn the American military on the American people? Wtf is this clown talking about,https://www.youtube.com/watch?v=aLC2XjW_Z08
