video_title,channel_uploader,author,publish_date,updated_date,like_count,text_display,url
Vice President Kamala Harris grilled on pivotal issues as election nears on 'Special Report',Fox News,@DaddyChhill,2024-10-31T05:27:08Z,2024-10-31T05:27:08Z,0,She’s talking about tump sepending 20mil on a video his own money keep in mind. Let’s talk about the fact her and Biden have sent 60billion to fund foreign wars our tax dollars.,https://www.youtube.com/watch?v=80DaR2CVNNk
Vice President Kamala Harris grilled on pivotal issues as election nears on 'Special Report',Fox News,@AlexGarcia-pq4fc,2024-10-31T05:22:17Z,2024-10-31T05:22:17Z,0,Her suit kinda hard.. gives supervillain vibes,https://www.youtube.com/watch?v=80DaR2CVNNk
Vice President Kamala Harris grilled on pivotal issues as election nears on 'Special Report',Fox News,@DillonMatthews-w6l,2024-10-31T05:08:37Z,2024-10-31T05:08:37Z,0,Not one answer to anything,https://www.youtube.com/watch?v=80DaR2CVNNk
Vice President Kamala Harris grilled on pivotal issues as election nears on 'Special Report',Fox News,@abigailearnheart289,2024-10-31T04:35:27Z,2024-10-31T04:35:27Z,0,"Regardless of EITHER candidates&#39; policies, I&#39;m not voting for someone that refuses to answer questions and just keeps blaming someone else for different things.",https://www.youtube.com/watch?v=80DaR2CVNNk
Vice President Kamala Harris grilled on pivotal issues as election nears on 'Special Report',Fox News,@abigailearnheart289,2024-10-31T04:34:45Z,2024-10-31T04:34:45Z,0,Joe Biden has the experience to make the decisions that he has made<br><br>Absolutely 😂😂😂,https://www.youtube.com/watch?v=80DaR2CVNNk
Vice President Kamala Harris grilled on pivotal issues as election nears on 'Special Report',Fox News,@abigailearnheart289,2024-10-31T04:34:35Z,2024-10-31T04:34:35Z,0,Joe Biden has the experience to make the decisions that he has made<br><br>Absolutely 😂😂😂,https://www.youtube.com/watch?v=80DaR2CVNNk
Vice President Kamala Harris grilled on pivotal issues as election nears on 'Special Report',Fox News,@helentalia9923,2024-10-31T04:33:48Z,2024-10-31T04:33:48Z,0,She&#39;s a liar! Her administration dumped undocumented + unvaxed Afghanis with plural wives on American citizens during COVID-19 AFTER foolishly getting US Marines killed in Afghanistan. Does she sould like she has sound plans for Americans? She&#39;s an enemy of America who wants to bring the whole world to the United States on American tax dollars.,https://www.youtube.com/watch?v=80DaR2CVNNk
Vice President Kamala Harris grilled on pivotal issues as election nears on 'Special Report',Fox News,@Ttw1976,2024-10-31T04:30:37Z,2024-10-31T04:30:37Z,0,They want to talk about the economy how many times did the government almost shut down under Trump🤣🤣,https://www.youtube.com/watch?v=80DaR2CVNNk
Vice President Kamala Harris grilled on pivotal issues as election nears on 'Special Report',Fox News,@Ttw1976,2024-10-31T04:23:10Z,2024-10-31T04:23:10Z,0,She took responsibility twice and he still said it again like she didn&#39;t apologize🤦🏽‍♂️🤦🏽‍♂️🤦🏽‍♂️ Trump never takes responsibility for his actions nor will he apologize🤦🏽‍♂️🤦🏽‍♂️🤦🏽‍♂️,https://www.youtube.com/watch?v=80DaR2CVNNk
Vice President Kamala Harris grilled on pivotal issues as election nears on 'Special Report',Fox News,@rhbawitlung,2024-10-31T04:14:25Z,2024-10-31T04:14:25Z,0,She is a big liar,https://www.youtube.com/watch?v=80DaR2CVNNk
Vice President Kamala Harris grilled on pivotal issues as election nears on 'Special Report',Fox News,@amyfitts2447,2024-10-31T04:09:40Z,2024-10-31T04:39:52Z,0,She never ANSWERS the question. Her responses are filled with details about the issue with solutions they have supposedly implemented or attempted to implement. She adds so much filler talk to cover up her non responsiveness including what seems to be uplifting rhetoric but does not present a solution or clarify her stance on the issue.,https://www.youtube.com/watch?v=80DaR2CVNNk
Vice President Kamala Harris grilled on pivotal issues as election nears on 'Special Report',Fox News,@BlastEureSchwulenVaeter,2024-10-31T04:04:41Z,2024-10-31T04:04:41Z,0,Stop mumbling ffs!,https://www.youtube.com/watch?v=80DaR2CVNNk
