video_title,channel_uploader,author,publish_date,updated_date,like_count,text_display,url
What to expect on US election night | BBC News,BBC News,@CharlieCharlie-b2p,2024-11-07T09:02:11Z,2024-11-07T09:02:11Z,0,TRUMP KAZANDI,https://www.youtube.com/watch?v=qBbBjlKI1xo
What to expect on US election night | BBC News,BBC News,@teriscott685,2024-11-06T06:38:17Z,2024-11-06T06:38:17Z,0,Trump 2024,https://www.youtube.com/watch?v=qBbBjlKI1xo
What to expect on US election night | BBC News,BBC News,@AbdulHaleem-l5r,2024-11-06T01:22:29Z,2024-11-06T01:22:29Z,0,Croppet woman,https://www.youtube.com/watch?v=qBbBjlKI1xo
What to expect on US election night | BBC News,BBC News,@HenryAndersen,2024-11-04T16:54:58Z,2024-11-04T16:55:17Z,0,Most likely civil unrest if it looks like Trump loses so I hope the sitting government has planned for it this time. <br><br>Do not let anyone  march on the Capitol or harass public officials this time.,https://www.youtube.com/watch?v=qBbBjlKI1xo
What to expect on US election night | BBC News,BBC News,@АндарбякМишаев-м9ъ,2024-11-04T13:10:19Z,2024-11-04T13:10:19Z,0,Trump is absolute evil,https://www.youtube.com/watch?v=qBbBjlKI1xo
What to expect on US election night | BBC News,BBC News,@teddygonzalez8098,2024-11-04T11:55:03Z,2024-11-04T11:55:03Z,0,Trump still expects the poorly educated to vote for him. Not anymore.,https://www.youtube.com/watch?v=qBbBjlKI1xo
What to expect on US election night | BBC News,BBC News,@Anthony-x8l6n,2024-11-04T06:04:15Z,2024-11-04T06:04:15Z,0,"And another thing: cut the crap about &#39;mainstream media&#39; and &#39;legacy media&#39; and &#39;fake media&#39;. Even if CNN, ABC and NBC are pro Harris, you can watch Fox, Sky, Forbes, Rogan, Huckabee, The Kudlow Report, and numerous other outlets, all to your heart&#39;s content. Don&#39;t you believe in free speech?",https://www.youtube.com/watch?v=qBbBjlKI1xo
What to expect on US election night | BBC News,BBC News,@Anthony-x8l6n,2024-11-04T05:57:44Z,2024-11-04T05:57:44Z,0,"Those who say I&#39;m voting for Trump because my grocery prices are too high are making a selfish choice. You are willing to allow the wannabe dictator, climate change denier, anti democratic, division sowing, serial lying Trump back into power because you think he will bring down grocery prices? No. There are darker forces at work. Maybe it&#39;s cause you like the division, and the anti democratic stance, and you really believe climate change is a hoax, and you secretly like the idea of a strong man president who will deport all those immigrants. And fair enough. You&#39;re entitled to believe all that, but knock it off with grocery store BS.",https://www.youtube.com/watch?v=qBbBjlKI1xo
What to expect on US election night | BBC News,BBC News,@9ami837,2024-11-04T05:45:17Z,2024-11-04T05:45:17Z,0,"The United States has a population of more than 5 million, which means that there is only one president who cannot manage so many people. Five countries can be independent. Give one chance and let those who want to be president become independent.",https://www.youtube.com/watch?v=qBbBjlKI1xo
What to expect on US election night | BBC News,BBC News,@axefjamal1398,2024-11-04T00:16:56Z,2024-11-04T00:19:30Z,1,Imran Khan from Pakistan can play a vital role in presidential election by calling Harris or trump.. whomsoever he calls will be the next President,https://www.youtube.com/watch?v=qBbBjlKI1xo
What to expect on US election night | BBC News,BBC News,@axefjamal1398,2024-11-04T00:16:31Z,2024-11-04T00:16:31Z,0,If Imran Khan of Pakistan calls Donald Trump from the jail he will be next president anything goes to handsome she will,https://www.youtube.com/watch?v=qBbBjlKI1xo
