video_title,channel_uploader,author,publish_date,updated_date,like_count,text_display,url
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@KarenChatterton-uq6rq,2024-11-07T00:10:30Z,2024-11-07T00:10:30Z,0,It amazes me how many people are for trump he was rexponsible for jan 6. And all the chaos. But you say he crestes peace. What a joke he is,https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@KarenChatterton-uq6rq,2024-11-07T00:07:21Z,2024-11-07T00:07:21Z,1,Trump ix a criminal people love criminals very sad for ize who voted for a liar.,https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@miadabarbie,2024-11-06T11:05:17Z,2024-11-06T11:05:17Z,0,We were so close.  😢,https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@AndeeLee-yi4ot,2024-11-06T06:41:31Z,2024-11-06T06:41:31Z,0,"uSMART SG is very friendly for me as a newcomer to trading U.S. stocks. They provide daily expert recommendations on potential stocks with great performance. I can learn while trading, and the costs are relatively low",https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@python5827,2024-11-06T04:11:33Z,2024-11-06T04:11:33Z,0,Want Kamla to win ❤,https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@Babymonster-monstiez-13,2024-11-06T04:05:46Z,2024-11-06T04:05:46Z,0,I swear if Kamala Harris wins I’m out of American I’m dead serious,https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@jillperry1212,2024-11-06T03:44:14Z,2024-11-06T03:44:14Z,1,🎉 HARRIS 🎉,https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@shanenicholas1234567,2024-11-06T03:13:17Z,2024-11-06T03:13:17Z,0,Well the real polls is showing that Trump is swamping her but for some reason people keep showing fake stuff,https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@triciaanddennisb9548,2024-11-06T01:11:00Z,2024-11-06T01:11:00Z,0,"Trump Trump all the USA <a href=""https://www.youtube.com/watch?v=WKCDwc-GLe4&amp;t=49"">0:49</a> 🎉",https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@rockbottommotivation2299,2024-11-06T00:55:50Z,2024-11-06T00:55:50Z,0,TRUMP FOR PRESIDENT,https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@olymes808,2024-11-06T00:10:30Z,2024-11-06T00:10:30Z,0,Don’t believe this Garbage news media,https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@BarbaraSalisbury-o2c,2024-11-06T00:09:37Z,2024-11-06T00:09:37Z,0,"The longer it takes for them to declare a winner, the more time they have to rig the election",https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@taintedtroll7051,2024-11-05T23:14:03Z,2024-11-05T23:14:03Z,0,If Harris wins I’m leaving earth,https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@america12487,2024-11-05T23:01:28Z,2024-11-05T23:01:28Z,0,"<a href=""https://americatoday18.blogspot.com/2024/11/us-presidential-elections-2024-voting.html"">https://americatoday18.blogspot.com/2024/11/us-presidential-elections-2024-voting.html</a>",https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@eastcoastgirl3770,2024-11-05T22:51:20Z,2024-11-05T22:51:20Z,1,Trump❤2024,https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@BritnyCharron,2024-11-05T22:45:02Z,2024-11-05T22:45:02Z,1,Lots of love ❤️ from Canada 🇨🇦 😊😊let’s go kalma let’s go Harris girl 👧 power let’s be the first ever women to win in usa 😊😊😊❤❤let’s go 😊let’s change the world,https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@finnanjohns6146,2024-11-05T22:44:52Z,2024-11-05T22:44:52Z,0,"What this video says is that 1 half of Americans are uninformed idiots who can&#39;t see what plainly exists in front of their eyes. They vote blindly, for someone who only has their own best interest at heart. They vote for a puppet because they are BLIND. The vote to be subjugated, controlled, and turned into slaves. They vote KAMUNIST. They vote Kamala, because they have no brains, no soul, and no education. They vote themselves into OBLIVION. They vote for WWIII.",https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@HerNightmare_3,2024-11-05T22:04:46Z,2024-11-05T22:04:46Z,1,TRUMP 2024,https://www.youtube.com/watch?v=WKCDwc-GLe4
